mm_id,latin_name,common_name_de,aliases,category_key,source_part_file,canonical_master_id,canonical_master_name,canonical_match_type,resolver_known,resolver_input_match,resolver_canonical_id,hahnemann,kent,hering,boericke,boger,allen,has_boger_data,has_allen_data,identity_status,notes
acidum-fluoricum,,,,acid,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_TRUE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,DATASET_PRESENCE,FALSE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
acidum-nitricum,,,,acid,materiaMedicaPartX.ts,NONE,,NO_MATCH,TRUE,acidum-nitricum,acidum-nitricum,EXPLICIT_TRUE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,DATASET_PRESENCE,DATASET_PRESENCE,TRUE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
acidum-phosphoricum,,,,acid,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_TRUE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,DATASET_PRESENCE,DATASET_PRESENCE,TRUE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
acidum-sulfuricum,,,,acid,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_TRUE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,DATASET_PRESENCE,DATASET_PRESENCE,TRUE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
aconitum-lycoctonum,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
aconitum-napellus,,,,plant,materiaMedicaPartX.ts,aconitum-napellus,,EXACT_NAME,TRUE,aconitum-napellus,aconitum-napellus,EXPLICIT_TRUE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,DATASET_PRESENCE,FALSE,TRUE,FALSE,FULLY_LINKED,"Diagnostic generated record"
actaea-spicata,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
adlumia-fungosa,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
adonis-vernalis,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
adoxa-moschatellina,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
aesculus-hippocastanum,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_TRUE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,DATASET_PRESENCE,FALSE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
aethusa-cynapium,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_TRUE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,DATASET_PRESENCE,FALSE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
agaricus-muscarius,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,TRUE,agaricus-muscarius,agaricus-muscarius,EXPLICIT_TRUE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,DATASET_PRESENCE,DATASET_PRESENCE,TRUE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
agave-americana,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
agnus-castus,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_TRUE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,DATASET_PRESENCE,DATASET_PRESENCE,TRUE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
agrostemma-githago,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
ailanthus-glandulosa,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
alchemilla-vulgaris,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
aletris-farinosa,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
alfalfa,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
allium-cepa,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,TRUE,allium-cepa,allium-cepa,EXPLICIT_TRUE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,PARTIALLY_LINKED,"Diagnostic generated record"
allium-sativum,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
alnus-serrulata,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
aloe-socotrina,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_TRUE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,DATASET_PRESENCE,DATASET_PRESENCE,TRUE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
alstonia-constricta,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
alstonia-scholaris,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
althaea-officinalis,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DATASET_PRESENCE,DATASET_PRESENCE,TRUE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
alumina,,,,mineral,materiaMedicaPartX.ts,NONE,,NO_MATCH,TRUE,alumina,alumina,EXPLICIT_TRUE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,DATASET_PRESENCE,DATASET_PRESENCE,TRUE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
alumina-phosphorica,,,,mineral,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_TRUE,EXPLICIT_FALSE,DEFAULT_TRUE,DATASET_PRESENCE,DATASET_PRESENCE,TRUE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
alumina-silicata,,,,mineral,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_TRUE,EXPLICIT_FALSE,DEFAULT_TRUE,DATASET_PRESENCE,DATASET_PRESENCE,TRUE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
ambra-grisea,,,,animal,materiaMedicaPartX.ts,NONE,,NO_MATCH,TRUE,ambra-grisea,ambra-grisea,EXPLICIT_TRUE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,DATASET_PRESENCE,DATASET_PRESENCE,TRUE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
ambrosia-artemisiaefolia,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
ambrosia-artemisiifolia,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
ammoniacum-dorema,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
ammoniacum-gummi,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
ammonium-benzoicum,,,,mineral,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
ammonium-bromatum,,,,mineral,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
ammonium-carbonicum,,,,mineral,materiaMedicaPartX.ts,NONE,,NO_MATCH,TRUE,ammonium-carbonicum,ammonium-carbonicum,EXPLICIT_TRUE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,DATASET_PRESENCE,DATASET_PRESENCE,TRUE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
ammonium-causticum,,,,mineral,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,DATASET_PRESENCE,DATASET_PRESENCE,TRUE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
ammonium-iodatum,,,,mineral,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
ammonium-muriaticum,,,,mineral,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_TRUE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,DATASET_PRESENCE,DATASET_PRESENCE,TRUE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
ammonium-phosphoricum,,,,mineral,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_TRUE,EXPLICIT_FALSE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
ammonium-valerianicum,,,,mineral,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
ampelopsis-quinquefolia,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
amygdalus-persica,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
amyl-nitrosum,,,,mineral,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
amylenum-nitrosum,,,,mineral,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,DATASET_PRESENCE,FALSE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
anacardium-orientale,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_TRUE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,DATASET_PRESENCE,DATASET_PRESENCE,TRUE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
anagallis-arvensis,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
cocculus-indicus,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_TRUE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,DATASET_PRESENCE,DATASET_PRESENCE,TRUE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
angustura-vera,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,TRUE,angustura-vera,angustura-vera,EXPLICIT_TRUE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,DATASET_PRESENCE,FALSE,TRUE,FALSE,PARTIALLY_LINKED,"Diagnostic generated record"
anhalonium-lewinii,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
anisum-stellatum,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_TRUE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
anthemis-nobilis,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
anthoxanthum-odoratum,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
anthracinum,,,,nosode,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,DATASET_PRESENCE,FALSE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
antimonium-arsenicosum,,,,mineral,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
antimonium-crudum,,,,mineral,materiaMedicaPartX.ts,NONE,,NO_MATCH,TRUE,antimonium-crudum,antimonium-crudum,EXPLICIT_TRUE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,DATASET_PRESENCE,DATASET_PRESENCE,TRUE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
antimonium-iodatum,,,,mineral,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
antimonium-sulfuratum-aurantiacum,,,,mineral,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,DATASET_PRESENCE,FALSE,TRUE,FALSE,PARTIALLY_LINKED,"Diagnostic generated record"
antimonium-tartaricum,,,,mineral,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_TRUE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,DATASET_PRESENCE,DATASET_PRESENCE,TRUE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
apis-mellifica,,,,animal,materiaMedicaPartX.ts,NONE,,NO_MATCH,TRUE,apis-mellifica,apis-mellifica,EXPLICIT_TRUE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,DATASET_PRESENCE,DATASET_PRESENCE,TRUE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
apium-graveolens,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
apocynum-androsaemifolium,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
apocynum-cannabinum,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,TRUE,apocynum-cannabinum,apocynum-cannabinum,EXPLICIT_FALSE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,DATASET_PRESENCE,FALSE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
apomorphinum,,,,mineral,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
aquilegia-vulgaris,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
aralia-hispida,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
aralia-racemosa,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
aranea-diadema,,,,animal,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
arbutus-andrachne,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
arbutus-unedo,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
arctium-lappa,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
uva-ursi,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_TRUE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
areca-catechu,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
argemone-mexicana,,,,plant,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
argentum-cyanatum,,,,mineral,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
argentum-iodatum,,,,mineral,materiaMedicaPartX.ts,NONE,,NO_MATCH,FALSE,NONE,NONE,EXPLICIT_FALSE,EXPLICIT_FALSE,EXPLICIT_TRUE,DEFAULT_TRUE,FALSE,FALSE,FALSE,FALSE,MM_ONLY,"Diagnostic generated record"
argentum-metallicum,,,,mineral,materiaMedicaPartX.ts,NONE,,NO_MATCH,TRUE,argentum-metallicum,argentum-metallicum,EXPLICIT_TRUE,EXPLICIT_TRUE,EXPLICIT_TRUE,DEFAULT_TRUE,DATASET_PRESENCE,DATASET_PRESENCE,TRUE,TRUE,PARTIALLY_LINKED,"Diagnostic generated record"
